UserID;DateTime;TargetDistance;TargetHeight;GravityStrength;BallType;BallMass;Score
-1;16.1.2026 17:39;1;1;-10;Tennis;5;0
-1;16.1.2026 17:39;3;2;-10;Tennis;5;0
-1;16.1.2026 17:41;0;0;-10;Tennis;5;0
-1;16.1.2026 17:48;0;0;-10;Tennis;5;4
-1;16.1.2026 17:48;2;2;-10;Tennis;5;0
-1;16.1.2026 17:48;1;3;-10;Tennis;5;0
-1;16.1.2026 17:48;3;3;-10;Tennis;5;0
-1;16.1.2026 17:48;1;3;-10;Tennis;5;0
-1;16.1.2026 17:48;1;2;-10;Tennis;5;0
-1;16.1.2026 17:48;2;1;-10;Tennis;5;0
-1;16.1.2026 17:48;3;2;-10;Tennis;5;0
-1;16.1.2026 17:48;2;3;-10;Tennis;5;0
-1;16.1.2026 17:48;2;3;-10;Tennis;5;3
-1;16.1.2026 17:48;2;2;-10;Tennis;5;0
-1;16.1.2026 17:48;3;3;-10;Tennis;5;0
-1;16.1.2026 17:48;2;3;-10;Tennis;5;0
-1;16.1.2026 17:48;3;3;-10;Tennis;5;0
-1;16.1.2026 17:48;2;1;-10;Tennis;5;4
-1;16.1.2026 17:48;2;2;-10;Tennis;5;0
-1;16.1.2026 17:48;1;2;-10;Tennis;5;0
-1;16.1.2026 17:49;3;2;-10;Tennis;5;0
-1;16.1.2026 17:49;3;1;-10;Tennis;5;4
-1;16.1.2026 17:49;3;2;-10;Tennis;5;4
-1;16.1.2026 17:49;1;3;-10;Tennis;5;0
-1;16.1.2026 17:49;1;3;-10;Tennis;5;0
-1;16.1.2026 17:49;2;2;-10;Tennis;5;0
-1;16.1.2026 17:49;3;1;-10;Tennis;5;0
-1;16.1.2026 17:49;2;2;-10;Tennis;5;0
-1;16.1.2026 17:49;2;2;-10;Tennis;5;0
-1;16.1.2026 17:49;2;1;-10;Tennis;5;4
-1;16.1.2026 17:49;3;2;-10;Tennis;5;0
-1;16.1.2026 17:49;3;3;-10;Tennis;5;0
-1;16.1.2026 17:49;1;3;-10;Tennis;5;0
-1;16.1.2026 17:49;1;1;-10;Tennis;5;4
-1;16.1.2026 17:49;2;1;-10;Tennis;5;4
-1;16.1.2026 17:49;1;1;-10;Tennis;5;4
-1;16.1.2026 17:49;3;2;-10;Tennis;5;0
-1;16.1.2026 17:49;3;2;-10;Tennis;5;0
-1;16.1.2026 17:49;1;1;-10;Tennis;5;4
-1;16.1.2026 17:49;1;2;-10;Tennis;5;4
-1;16.1.2026 18:01;0;0;-10;Tennis;5;4
-1;16.1.2026 18:03;0;0;-10;Tennis;5;4
-1;16.1.2026 18:09;0;0;-10;Tennis;5;4
-1;16.1.2026 18:09;6;1;-10;Tennis;5;4
-1;16.1.2026 18:24;0;0;-10;Tennis;5;4
-1;16.1.2026 18:24;5;2;-10;Tennis;5;0
-1;16.1.2026 18:24;7;1;-10;Tennis;5;0
-1;16.1.2026 18:24;9;2;-10;Tennis;5;0
-1;16.1.2026 18:24;8;3;-10;Tennis;5;0
-1;16.1.2026 18:28;0;0;-10;Tennis;5;4
-1;16.1.2026 18:28;8;1;-10;Tennis;5;4
-1;16.1.2026 18:28;8;2;-10;Tennis;5;0
-1;16.1.2026 18:28;6;1;-10;Tennis;5;4
-1;16.1.2026 18:28;9;2;-10;Tennis;5;0
-1;16.1.2026 18:28;5;1;-10;Tennis;5;2
-1;16.1.2026 18:28;8;2;-10;Tennis;5;0
-1;16.1.2026 18:28;8;2;-10;Tennis;5;0
-1;16.1.2026 18:28;7;3;-10;Tennis;5;0
